Product_Category,Price,Quantity,Payment_Method,Delivery_Time_Days,Customer_Rating,Discount_Applied,gender,age_category,size,Purchase
Μπουφάν,16.0,1,Αντικαταβολή,6,3,7,Neutral,Adult,L,1
Παπούτσια,48.66,1,Αντικαταβολή,3,5,36,Men,Children,M,1
Μπουφάν,53.86,2,Αντικαταβολή,5,5,41,Neutral,Adult,M,1
Παπούτσια,69.29,2,Κάρτα,4,5,18,Neutral,Children,XL,1
Μπουφάν,35.5,0,Αντικαταβολή,5,2,43,Men,Adult,S,0
Παντελόνι,32.49,1,Αντικαταβολή,3,2,0,Men,Adult,XL,1
Παπούτσια,40.87,1,Κάρτα,4,2,40,Neutral,Children,M,1
Μπλούζα,75.69,4,PayPal,5,5,23,Women,Adult,XL,1
Παπούτσια,70.88,1,Κάρτα,5,3,47,Neutral,Youth,XL,1
Παντελόνι,49.57,1,PayPal,3,4,16,Neutral,Children,M,1
Αξεσουάρ,70.4,0,Κάρτα,2,4,31,Neutral,Youth,L,0
Παπούτσια,2.63,0,Αντικαταβολή,9,4,49,Neutral,Children,M,0
Μπουφάν,65.83,1,Κάρτα,9,3,13,Men,Adult,L,1
Μπουφάν,27.62,4,Αντικαταβολή,6,4,16,Neutral,Adult,M,1
Αξεσουάρ,85.34,1,PayPal,5,1,31,Women,Adult,M,1
Παντελόνι,28.72,1,Αντικαταβολή,9,5,32,Men,Children,M,1
Φόρεμα,32.94,1,Κάρτα,6,1,29,Women,Youth,S,1
Μπουφάν,61.25,1,Κάρτα,7,2,46,Women,Youth,L,1
Μπλούζα,63.18,1,PayPal,7,3,33,Women,Children,S,1
Παντελόνι,41.07,0,Αντικαταβολή,3,5,27,Women,Children,M,0
Παπούτσια,57.43,1,PayPal,8,3,23,Men,Youth,XL,1
Παπούτσια,59.91,1,Αντικαταβολή,3,4,13,Men,Youth,S,1
Μπλούζα,57.86,3,Αντικαταβολή,8,1,33,Women,Youth,L,1
Μπουφάν,41.91,5,PayPal,8,2,46,Women,Youth,M,1
Παντελόνι,60.1,7,PayPal,8,4,0,Men,Children,S,1
Μπλούζα,78.13,5,Αντικαταβολή,2,3,21,Men,Children,XL,1
Μπουφάν,25.49,0,PayPal,8,5,32,Men,Adult,S,0
Παντελόνι,33.2,3,Αντικαταβολή,4,5,43,Neutral,Youth,L,1
Παπούτσια,50.55,4,PayPal,6,5,46,Neutral,Adult,S,1
Παντελόνι,28.88,1,PayPal,9,2,17,Neutral,Children,XL,1
Αξεσουάρ,13.93,1,PayPal,5,4,46,Women,Children,XL,1
Φόρεμα,71.86,4,Κάρτα,4,5,38,Neutral,Adult,L,1
